Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,788.9000244140625,795.7000122070312,786.0,788.2000122070312,750.7656860351562,49806
2013-01-02,796.7000122070312,804.3499755859375,781.0,783.25,746.05078125,119415
2013-01-03,786.0,810.0,784.5,802.0499877929688,763.9578857421875,351457
2013-01-04,803.0,816.0,801.5,809.2000122070312,770.7683715820312,146951
2013-01-07,811.0,819.4000244140625,804.0,806.0499877929688,767.7678833007812,81819
2013-01-08,805.1500244140625,810.0,792.5999755859375,804.0,765.815185546875,116760
2013-01-09,804.0,804.75,795.5499877929688,797.4500122070312,759.5762939453125,111160
2013-01-10,799.8499755859375,805.0,791.2999877929688,803.25,765.1009521484375,139180
2013-01-11,806.7000122070312,814.9000244140625,788.2000122070312,794.0,756.2902221679688,131554
2013-01-14,794.1500244140625,809.0,790.0,806.8499755859375,768.5299072265625,144114
2013-01-15,809.9500122070312,814.0,804.0,809.8499755859375,771.3873901367188,129731
2013-01-16,812.0999755859375,814.0,804.0,808.7999877929688,770.38720703125,207176
2013-01-17,810.9500122070312,827.9500122070312,791.9500122070312,797.5999755859375,759.7191772460938,57662
2013-01-18,767.9500122070312,802.6500244140625,767.9500122070312,793.0499877929688,755.38525390625,53856
2013-01-21,792.0499877929688,799.7999877929688,766.5999755859375,779.7000122070312,742.6692504882812,463743
2013-01-22,779.6500244140625,790.0,768.9500122070312,772.1500244140625,735.4778442382812,299750
2013-01-23,772.0,809.7999877929688,771.0,800.0499877929688,762.0527954101562,594034
2013-01-24,802.3499755859375,803.2000122070312,773.0999755859375,777.75,740.8119506835938,153055
2013-01-25,779.7999877929688,782.7000122070312,770.0,775.6500244140625,738.811767578125,165788
2013-01-28,788.0,788.0,770.0499877929688,778.1500244140625,741.1930541992188,493027
2013-01-29,779.25,792.0,777.1500244140625,789.9500122070312,752.4324951171875,157293
2013-01-30,791.0,807.9500122070312,791.0,803.25,765.1009521484375,72842
2013-01-31,803.9000244140625,810.0,796.1500244140625,808.5,770.1016235351562,77051
2013-02-01,811.75,823.6500244140625,809.0,813.1500244140625,774.5306396484375,119831
2013-02-04,807.0499877929688,823.0,805.6500244140625,816.0999755859375,777.3405151367188,86852
2013-02-05,817.9500122070312,823.7000122070312,807.9500122070312,814.1500244140625,775.4832153320312,119230
2013-02-06,815.0999755859375,836.0,810.25,824.6500244140625,785.4845581054688,344777
2013-02-07,826.0,853.6500244140625,822.9000244140625,848.75,808.4400024414062,496246
2013-02-08,850.0,857.9500122070312,835.0499877929688,840.0499877929688,800.1531372070312,138390
2013-02-11,844.7999877929688,847.0999755859375,830.5,836.7999877929688,797.0574340820312,74434
2013-02-12,830.0,846.0,830.0,841.9000244140625,801.9152221679688,106980
2013-02-13,836.0499877929688,842.9000244140625,832.9500122070312,839.9000244140625,800.01025390625,175530
2013-02-14,838.9500122070312,840.0,810.6500244140625,815.4500122070312,776.7214965820312,48142
2013-02-15,814.8499755859375,839.0,807.0,827.6500244140625,788.3421020507812,202628
2013-02-18,824.9000244140625,825.0,812.0999755859375,823.2999877929688,784.1986694335938,89800
2013-02-19,824.7999877929688,825.0,816.3499755859375,822.5,783.4366455078125,62898
2013-02-20,826.75,826.75,809.0,813.25,774.6260375976562,42480
2013-02-21,815.8499755859375,815.9000244140625,800.1500244140625,808.0,769.625244140625,46150
2013-02-22,814.0499877929688,814.0499877929688,784.1500244140625,796.5,758.6714477539062,113908
2013-02-25,798.7000122070312,820.5,798.0,810.2000122070312,771.7208862304688,42769
2013-02-26,802.4500122070312,812.6500244140625,800.0999755859375,805.5,767.2439575195312,43552
2013-02-27,807.0,825.0,801.75,824.5499877929688,785.389404296875,49028
2013-02-28,829.9000244140625,833.9000244140625,812.6500244140625,826.9000244140625,787.627685546875,719917
2013-03-01,824.9500122070312,827.0499877929688,803.1500244140625,825.2999877929688,786.103515625,181650
2013-03-04,812.2999877929688,834.2999877929688,781.25,824.7999877929688,785.6273193359375,85923
2013-03-05,824.9500122070312,844.75,823.0,841.4000244140625,801.4390258789062,82870
2013-03-06,841.4500122070312,852.0,830.2999877929688,835.4500122070312,795.7716064453125,53413
2013-03-07,828.5499877929688,841.0,825.0499877929688,834.3499755859375,794.723876953125,21988
2013-03-08,836.7999877929688,862.0,829.0999755859375,848.2000122070312,807.9160766601562,136852
2013-03-11,854.4000244140625,854.4000244140625,836.25,848.0999755859375,807.8207397460938,85527
2013-03-12,848.3499755859375,849.6500244140625,828.3499755859375,837.0,797.2478637695312,110004
2013-03-13,843.5499877929688,845.0,829.0,834.7000122070312,795.0571899414062,29335
2013-03-14,834.0499877929688,839.1500244140625,822.0499877929688,835.25,795.5810546875,61817
2013-03-15,835.3499755859375,839.9000244140625,790.0,799.0,761.0526123046875,114402
2013-03-18,798.0,813.4500122070312,794.0,802.5499877929688,764.4341430664062,33562
2013-03-19,804.2999877929688,810.6500244140625,790.0499877929688,793.0999755859375,755.4329833984375,29307
2013-03-20,882.0,882.0,790.2999877929688,794.4000244140625,756.671142578125,59802
2013-03-21,802.9000244140625,802.9000244140625,790.4500122070312,794.0,756.2902221679688,126481
2013-03-22,791.0,794.9500122070312,786.4000244140625,788.6500244140625,751.1943359375,119587
2013-03-25,794.0,800.5,793.6500244140625,795.2000122070312,757.4332275390625,328699
2013-03-26,818.9500122070312,818.9500122070312,794.0,797.1500244140625,759.2907104492188,30556
2013-03-28,785.0,847.0,785.0,838.9000244140625,799.0577392578125,261723
2013-04-01,837.0,839.0,826.0,834.7000122070312,795.0571899414062,116118
2013-04-02,834.9500122070312,843.9000244140625,830.2000122070312,834.8499755859375,795.2000122070312,135116
2013-04-03,834.9500122070312,840.0,830.25,834.4500122070312,794.8190307617188,48605
2013-04-04,835.0,838.0,812.7000122070312,834.2000122070312,794.5809936523438,123446
2013-04-05,834.9500122070312,850.0,829.0499877929688,843.7999877929688,803.72509765625,214582
2013-04-08,835.0499877929688,842.0,825.0499877929688,828.75,789.3897094726562,40902
2013-04-09,830.4500122070312,835.0,816.0,821.3499755859375,782.3411865234375,61512
2013-04-10,827.0,830.0,810.5,826.6500244140625,787.3896484375,36493
2013-04-11,828.0,835.0499877929688,818.0,822.9000244140625,783.817626953125,31601
2013-04-12,827.75,830.0,818.1500244140625,828.7000122070312,789.3422241210938,27236
2013-04-15,822.0,832.0,815.0,818.4000244140625,779.5313720703125,18486
2013-04-16,815.0,830.0,815.0,828.8499755859375,789.4849853515625,25831
2013-04-17,848.9500122070312,848.9500122070312,823.9000244140625,829.25,789.8660278320312,720633
2013-04-18,829.3499755859375,835.0,828.5499877929688,834.7999877929688,795.1525268554688,88302
2013-04-22,840.0,840.0,828.1500244140625,833.0,793.4379272460938,52972
2013-04-23,833.5499877929688,835.0,825.25,834.3499755859375,794.723876953125,81998
2013-04-25,834.9500122070312,835.0,828.4000244140625,833.3499755859375,793.771240234375,76860
2013-04-26,827.0,835.0,822.5999755859375,825.6500244140625,786.4370727539062,124945
2013-04-29,825.9500122070312,834.0,817.2999877929688,824.9000244140625,785.7227172851562,203218
2013-04-30,829.9500122070312,838.9000244140625,825.0999755859375,834.2000122070312,794.5809936523438,333380
2013-05-02,837.5,847.9500122070312,819.5499877929688,825.5,786.2942504882812,418522
2013-05-03,825.5,833.3499755859375,823.0,828.5,789.1515502929688,60194
2013-05-06,836.0,868.0,826.75,859.2000122070312,818.3934936523438,333905
2013-05-07,862.0,873.0,855.0,869.6500244140625,828.3473510742188,249548
