Stock,Market Cap Category,Market Cap (INR),Current Price,52 Week High,52 Week Low,Beta,Debt/Equity,ROA (Return on Assets),ROE (Return on Equity),Promoter Holding,Institutional Holding,PE,P/B,PEG,EPS,Dividend Yield,Industry PE,Profit Margin,Operating Margin,Revenue Growth (YoY),EPS Growth,Profit Growth (3Y),Book Value
ADANIENT.NS,Large Cap,238601018277888.0,2399.9,3070,2025,2.25,177.767,0.02607,0.15823,0.77475,0.1509,35.932022,5.18673,,66.79,0.05,54.5184,0.08434,0.11562,-0.058,0.848,0.837,462.7
ADANIPORTS.NS,Large Cap,262912195166208.0,1441.9,1494,995.65,0.358,81.556,0.073410004,0.18591999,0.65911,0.23124,26.064714,4.644339,,55.32,0.48,43.144825,0.34416,0.4676,0.297,0.271,0.272,310.464
APOLLOHOSP.NS,Large Cap,94086926696448.0,7790,8099.5,6001,0.141,90.886,,,0.29703,0.46802,71.23914,13.639077,,109.35,0.26,95.46569,0.06978,0.109069996,0.149,0.418,0.418,571.153
ASIANPAINT.NS,Large Cap,202537385852928.0,2492,2907.85,2124.75,0.363,11.418,,,0.53002,0.26441,66.364845,12.321384,,37.55,1,88.24363,0.10629,0.14837,-0.002,-0.06,-0.06,202.25
AXISBANK.NS,Large Cap,321273046499328.0,1226.1,1276.1,933.5,0.323,0,0.01592,0.14004,0.022909999,0.6717,14.699676,1.9060603,,83.41,0.08,12.26999,0.34296,0.41287,-0.06,-0.255,-0.253,643.264
BAJAJ-AUTO.NS,Large Cap,208603525939200.0,8751,10079.8,7089.35,0.728,26.301,,,0.58687997,0.15451,32.258183,6.944786,,271.28,2.4,51.109684,0.14264,0.23341998,0.112,0.136,0.138,1260.082
BAJFINANCE.NS,Large Cap,550628575150080.0,1054.7,1102.5,645.1,0.195,294.158,,0.20079,0.54957,0.25423,37.654408,6.771662,,28.01,0.42,25.267874,0.44939,0.60695,0.201,0.197,0.201,155.752
BAJAJFINSV.NS,Large Cap,280103790575616.0,2074,2195,1551.65,0.259,221.494,,0.16087,0.64197,0.14203,35.099003,4.5722804,,59.09,0.05,41.975307,0.07023,0.40112,0.129,0.301,0.305,453.603
BEL.NS,Large Cap,262012652224512.0,415.75,436,240.25,0.229,0.273,0.10474,0.29009,0.52775,0.24843,53.30128,14.104695,,7.8,0.58,54.41754,0.22645001,0.27204,0.258,0.173,0.179,29.476
BHARTIARTL.NS,Large Cap,1033649554194432.0,2110,2135.6,1511,0.105,129.719,0.07565,0.33018002,0.53407,0.32665002,32.84558,10.38013,,64.24,0.76,31.235203,0.19805,0.31410998,0.257,0.883,0.89,203.273
COALINDIA.NS,Large Cap,201431932993536.0,378,440.35,349.25,,12.976,0.08133,0.30576,0.63137,0.24768999,7.465929,2.2095315,,50.63,7.02,14.864333,0.23913,0.19155,0.185,-0.308,-0.308,171.077
DRREDDY.NS,Large Cap,83742716854272.0,1197.5,1405.9,1020,0.358,16.167,0.087840006,0.1736,0.29253998,0.50766,17.029295,2.780945,,70.32,0.67,3.4901345,0.17132999,0.18445998,0.098,0.146,0.145,430.609
EICHERMOT.NS,Large Cap,161133902168064.0,6917,7122.5,4536.05,0.072,2.151,,,0.50428003,0.30286,39.29667,8.90472,,176.02,1.01,31.494543,0.24962,0.19928,0.078,0.094,0.094,776.779
GRASIM.NS,Large Cap,164616556511232.0,2878.4,2977.8,2276.95,0.202,118.847,,,0.51194,0.26822,47.79014,2.0029266,,60.23,0.35,123.43053,0.026300002,0.17478001,0.185,0.152,0.174,1437.097
HINDALCO.NS,Large Cap,159079129939968.0,830.85,864,546.45,0.859,53.056,5.86,0.14729999,0.36848998,0.41717997,10.922176,1.4912876,,76.07,0.6,11.715532,0.068909995,0.09327,0.127,0.303,0.303,557.136
HINDUNILVR.NS,Large Cap,486473686056960.0,2443.9,2750,2136,0.324,3.611,0.10227,0.21819,0.62262,0.19639,52.875374,11.784476,,46.22,1.76,48.27799,0.16950001,0.20756,0.02,0.036,0.036,207.383
HDFCBANK.NS,Large Cap,1275817585803264.0,985.7,1020.5,812.15,0.453,0,0.01653,0.108430006,0.0015,0.56052,22.530287,2.783842,,43.75,1.12,10.229348,0.26962999,0.39472,0.654,0.119,0.128,354.079
HDFCLIFE.NS,Large Cap,134495762644992.0,742.8,820.75,584.3,0.573,13.88,0.00386,0.11649,0.56058,0.25439,84.79452,9.459648,,8.76,0.28,117.904755,0.02062,0.025139999,-0.275,0.035,0.033,78.523
HEROMOTOCO.NS,Large Cap,93074277531648.0,5303.5,5717,3344,0.709,3.607,,,0.37035,0.38377,21.074905,5.5041256,,251.65,2.45,18.774828,0.12458,0.124110006,-0.047,0.631,0.63,963.55
JIOFIN.NS,Large Cap,163836549660672.0,302.1,347.35,198.65,0.983,7.797,0.010989999,0.01199,0.48303002,0.21497,120.35857,1.416687,,2.51,0.17,77.46154,0.72075,0.65466005,0.207,0.009,0.009,213.244
INFY.NS,Large Cap,516180953530368.0,1468,2006.45,1307,0.338,8.437,0.14859,0.29026,0.15269,0.49108002,20.920622,522.9783,,70.17,3.07,20.298672,0.16584998,0.20981,0.037,0.066,0.08,2.807
ITC.NS,Large Cap,442242227503104.0,408.8,491,390.15,-0.077,0.507,0.16612,0.27811,0.27371,0.50508,25.375542,7.2089863,,16.11,3.84,21.572557,0.44597998,0.32099,-0.06,0.025,0.027,56.707
KOTAKBANK.NS,Large Cap,350853742460928.0,2094.8,2301.9,1679.05,0.192,0,0.02162,0.1178,0.28676,0.48641998,22.401882,2.4790092,,93.51,0.12,18.208523,0.25536,0.36106,-0.124,-0.114,-0.114,845.015
LT.NS,Large Cap,465836848447488.0,3925,4062.6,2965.3,0.382,111.847,0.04711,0.16521,0.16386,0.48893002,32.90025,5.325724,,119.3,0.87,37.588585,0.059520002,0.102340005,0.107,0.156,0.156,736.989
M&M.NS,Large Cap,361311394332672.0,3584.3,3723.8,2425,,132.29,0.06706,0.17235,0.24806999,0.50501,28.352318,4.830632,,126.42,0.71,26.373112,0.08004,0.16986999,0.212,0.148,0.159,741.994
MARUTI.NS,Large Cap,426968780636160.0,15356,16660,10725,0.226,0.1,0.06537,0.1565,0.58284,0.32256,32.64178,4.840344,,470.44,0.88,29.426083,0.09201,0.07989,0.131,0.079,0.079,3172.502
NESTLEIND.NS,Large Cap,206215975010304.0,1266.5,1311.6,1055,0.25,10.753,0.22593,0.70792,0.62842,0.15109,82.72371,55.074795,,15.31,1.58,64.82153,0.14073,0.19018,0.106,-0.173,-0.174,22.996
NTPC.NS,Large Cap,274122075537408.0,330.3,410.9,292.8,0.223,127.753,0.04415,0.13104,0.53253,0.38013,17.682013,1.6663219,,18.68,3.36,13.711082,0.12718001,0.17863001,0.002,-0.039,-0.039,198.221
ONGC.NS,Large Cap,270266026426368.0,252.65,273.5,205,0.242,50.187,,,0.69208,0.21785,8.812347,0.9254613,,28.67,5.85,7.071089,0.05486,0.1013,-0.021,-0.014,-0.013,272.999
POWERGRID.NS,Large Cap,224915704774656.0,278.8,345.4,247.3,0.169,141.186,0.060489997,0.15918,0.5134,0.34210998,18.033634,2.6170785,,15.46,4.84,13.107662,0.32917,0.5133,0.018,-0.059,-0.06,106.531
RELIANCE.NS,Large Cap,1687338124050432.0,1471.1,1551,1114.85,0.321,35.651,0.039389998,0.09717,0.49661,0.27533,23.947582,2.2697957,,61.43,0.37,20.4746,0.08314,0.12359,0.1,0.096,0.097,648.12
SBIN.NS,Large Cap,740169942564864.0,954.6,959.3,680,0.318,0,0.01161,0.16584,0.56681997,0.28751,10.616103,1.6368537,,89.92,1.66,11.547115,0.22672,0.35021,0.098,0.097,0.097,583.192
SUNPHARMA.NS,Large Cap,343311331098624.0,1702.7,1910,1548,0.266,3.259,,,0.55612,0.25213,39.359688,5.656961,,43.26,0.95,52.1022,0.19287,0.24344999,0.095,-0.195,-0.196,300.992
TCS.NS,Large Cap,928608323371008.0,2987.7,4494.9,2866.6,0.332,10.173,0.23542,0.47355998,0.71766,0.16904,21.863886,10.1581335,,136.65,2.07,19.315361,0.19186,0.25183,0.024,0.014,0.014,294.119
TATACONSUM.NS,Large Cap,97834262593536.0,1177,1202.8,882.9,0.363,11.869,0.0366,0.064840004,0.34375998,0.31544,85.289856,5.7296405,,13.8,0.7,78.7818,0.07248,0.10441,0.178,0.082,0.11,205.423
TATAMOTORS.NS,Large Cap,125535829622784.0,405.85,843.9,376.3,1.012,61.549,,,0.44127,0.23497,6.662016,1.2863994,,60.92,0.0148,6.209245,0.048600003,0.05673,-0.034,,-0.295,315.493
TATASTEEL.NS,Large Cap,191613722689536.0,179.35,186.94,122.62,0.804,103.775,,,0.34869,0.33290002,49.271976,2.4557729,,3.64,2.01,10.367053,0.020920001,0.088070005,-0.029,1.169,1.165,73.032
TECHM.NS,Large Cap,105859827892224.0,1407.8,1807.7,1209.4,0.263,6.992,0.08401,0.16267,0.36312,0.41715,27.827635,4.5357013,,50.59,3.19,21.768982,0.08303001,0.12142,0.051,-0.045,-0.044,310.382
TITAN.NS,Large Cap,283889969922048.0,3810,3827,2925,0.195,223.018,0.08519,0.36639,0.58654,0.19273001,81.90026,26.389244,,46.52,0.29,67.817726,0.06081,0.09004,0.288,0.591,0.591,144.377
ULTRACEMCO.NS,Large Cap,294977418559488.0,11813,13097,10047.85,0.375,33.192,0.05456,0.10519,0.60611,0.22208999,47.59468,4.82382,,248.2,0.66,86.20111,0.08931,0.09928001,0.254,0.472,0.502,2448.889
WIPRO.NS,Large Cap,212033948614656.0,238.3,324.6,228,0.59,18.738,0.073070005,0.16108999,0.72738,0.14631,18.544746,2.8992736,,12.85,4.62,9.426424,0.15057999,0.16420999,0.018,0.01,0.012,82.193
ZOMATO.NS,Unknown,,,,,,,,,,,,,,,,,,,,,,
DIVISLAB.NS,Large Cap,152037037178880.0,6818,7071.5,4955,0.137,0.027,,,0.52091,0.29138002,78.27784,12.091418,,87.1,0.44,121.10124,0.23891,0.25601998,0.138,0.265,0.267,563.871
BPCL.NS,Large Cap,135934060265472.0,373,373.95,234.01,0.945,56.386,0.078379996,0.24822001,0.54504,0.27719,7.5080514,1.6967039,,49.68,4.02,12.032258,0.04804,0.07435,0.021,1.693,1.695,219.838
INDUSINDBK.NS,Large Cap,51809547976704.0,787.1,1098.6,606,0.259,0,-0.00142,-0.01161,0.18044001,0.48694,,0.9421642,,-9.8,1.92,8.14972,-0.048860002,-0.17025,-0.4,,,835.417
JSWSTEEL.NS,Large Cap,247345330520064.0,1180.9,1223.9,880,0.595,118.74,0.04468,0.07279,0.64242995,0.17923,47.82908,3.4700003,,24.69,0.24,18.276276,0.03454,0.101009995,0.138,2.689,2.697,340.317
SBILIFE.NS,Large Cap,165997590872064.0,1971.1,1997.3,1372.55,0.356,0,0.00359,0.14199,0.57994,0.287,80.617584,10.807891,,24.45,0.14,75.204124,0.02359,0.02305,-0.428,-0.066,-0.066,182.376
SHRIRAMFIN.NS,Large Cap,125754709377024.0,795.85,814.15,493.35,0.524,279.083,0.03431,0.17323999,0.3426,0.45215,15.208293,2.4701798,,52.33,1.85,13.118996,0.52085,0.63387,0.113,0.081,0.081,322.183
TRENT.NS,Large Cap,140149323202560.0,4660.4,7493.05,4488,0.068,40.069,,,0.43128,0.2628,104.16629,30.333048,,44.74,0.11,68.41456,0.08842,0.11363,0.19,0.095,0.095,153.641
BRITANNIA.NS,Large Cap,119657587015680.0,5914,6336,4506,0.534,28.451,,,0.51166,0.25045002,64.75419,32.704025,,91.33,1.27,72.68034,0.12016,0.14604001,0.088,0.03,0.03,180.834
ICICIBANK.NS,Large Cap,807516380332032.0,1336.9,1500,1186,0.276,0,0.0219,0.17599002,0.023710001,0.54668,18.083323,2.846588,,73.93,0.82,35.237217,0.27915,0.35821998,0.079,0.02,0.032,469.65
ALMONDZ.NS,Mid Cap,2.78849E+11,17.85,34.85,16.61,0.095,22,,,0.66545,0,16.839624,1.2290003,,1.06,,,0.12254,0.12258001,0.051,0.121,0.133,14.524
BALAJITELE.NS,Large Cap,1227612352512.0,122.17,141.32,49.02,0.141,1.189,,,0.72458,0.08316,15.367295,2.04496,,7.95,,,0.21767999,-0.15908,-0.512,,,59.742
BODALCHEM.NS,Large Cap,6.53513E+11,61.19,81.49,50.01,0.038,82.447,,,0.60071,0.00065,26.375,0.69850004,,2.32,,8.61831,0.01644,0.069460005,0.076,,,87.602
COFFEEDAY.NS,Large Cap,7.4354E+11,40.5,51.46,21.28,-0.034,46.62,,,0.18934,0.00458,,0.3309256,,-0.88,,4.05,-0.01694,0.01456,0.036,,,122.384
DALBHARAT.NS,Large Cap,33036257329152.0,2050.1,2496.3,1601,0.071,39.764,0.03512,0.06427,0.52966,0.08963,34.139885,2.1737194,,60.05,0.44,27.58477,0.07853,0.10945,0.107,4.139,4.13,943.13
DHL.NS,Unknown,,,,,,,,,,,,,,,,,,,,,,
ELGIEQUIP.NS,Large Cap,13180995502080.0,482,673.9,401,-0.216,30.939,,,0.49068,0.19452,41.986065,8.156496,,11.48,0.46,44.920784,0.10151,0.118030004,0.082,0.174,0.175,59.094
GANESHHOUC.NS,Large Cap,6118445383680.0,873.5,1485,775.55,-0.306,1.333,,,0.83565,0.00488,12.610077,3.540867,,69.27,0.0057,,0.64399004,0.83817,-0.296,-0.182,-0.182,246.691
GREENPANEL.NS,Large Cap,2915315859456.0,278,418.8,202.81,0.66,29.79,,,0.53137,0.3074,155.30727,2.4611135,,1.79,0.11,20.194155,0.01556,-0.12585,-0.101,,,112.957
HUDCO.NS,Large Cap,39812779474944.0,232.8,262.7,158.85,0.973,597.153,,,0.75,0.10712,16.76026,2.5903506,,13.89,3.41,14.109091,0.64221,0.79957,0.425,0.129,0.13,89.872
INDOCO.NS,Large Cap,2164894040064.0,272.7,355,190,0.489,97.563,,,0.60947,0.1928,,2.4056318,,-12.14,0.07,20.305286,-0.06711,-0.02779,0.015,,,113.359
JYOTHYLAB.NS,Large Cap,9702614433792.0,314.55,502.9,300.1,0.244,2.99,,,0.68748003,0.18094,31.549646,5.6358843,,9.97,1.11,62.287125,0.12788999,0.14567,0.013,-0.047,-0.049,55.812
KIOCL.NS,Large Cap,21972119715840.0,424,634.55,209.84,0.613,11.295,,,0.99034,0,,15.056284,,-3.14,,,-0.35883,-0.57181,-0.383,,,28.161
LAKSHVILAS.NS,Unknown,,,,,,,,,,,,,,,,,,,,,,
MANAPPURAM.NS,Large Cap,19104611893248.0,266.3,298,147.67,0.64,301.609,0.008169999,0.03363,0.35437,0.24355,51.5087,1.79224,,5.17,0.75,10.177069,0.12765999,0.29797,-0.309,-0.619,-0.615,148.585
NIITTECH.NS,Unknown,,,,,,,,,,,,,,,,,,,,,,
ORIENTCEM.NS,Large Cap,3705123373056.0,212.48,362.4,211.24,,3.507,0.06542,0.16078,0.76204,0.03531,14.241286,2.1159973,,14.92,0.24,24.394947,0.102819994,0.116289996,0.204,20.727,20.116,100.416
POLYCAB.NS,Large Cap,97425360420864.0,7560,7903,4555,0.432,2.087,0.13340999,0.25748,0.66459,0.16792999,46.295162,10.742268,,163.3,0.46,45.91558,0.10009,0.14357,0.178,0.56,0.559,703.762
RADICO.NS,Large Cap,35977286123520.0,3199.2,3423,1845.5,0.424,20.939,0.0921,0.16516,0.44907,0.30496,93.43457,14.375843,,34.24,0.13,80.9924,0.081750005,0.13404,0.338,0.731,0.73,222.54
VINATI.NS,Unknown,,,,,,,,,,,,,,,,,,,,,,
APLLTD.NS,Large Cap,15685737381888.0,950,1152,725.2,,28.004,0.06679,0.12380999,0.7089,0.16171,29.429989,3.5093942,,32.28,1.14,21.83908,0.08963,0.1286,0.163,0.207,0.204,270.702
CAMS.NS,Large Cap,16386115436544.0,3803,5367.5,3031.05,0.091,6.395,0.21869,0.40825,0.03667,0.56878,40.669445,15.464378,,93.51,1.47,33.861237,0.3182,0.37971002,0.032,-0.067,-0.061,245.92
CONCOR.NS,Large Cap,34828164661248.0,541.55,868,481,0.131,6.899,,,0.58413,0.36995,31.893404,3.33157,,16.98,1.18,19.334166,0.14513,0.12588,0.024,0.035,0.032,162.551
HAVISHA.NS,Small Cap,49942195968,1.96,3.05,1.7,0.834,168.194,,,0.34035,0,,2.4317617,,-0.14,,,-0.29788,-0.21648,0.037,,,0.806
ICICIPRULI.NS,Large Cap,73889268891648.0,608,733.9,525.8,0.529,20.448,0.00365,0.10762,0.23709999,0.67828006,67.6307,6.9003086,,8.99,0.14,53.462723,0.02261,0.03243,-0.524,0.167,0.179,88.112
MAFIN.NS,Unknown,,,,,,,,,,,,,,,,,,,,,,
NAVINFLUOR.NS,Large Cap,26078661181440.0,6060,6099,3180,0.153,32.677,0.08134,0.14631,0.29313,0.42148998,68.55203,8.591942,,88.4,0.21,46.353397,0.15912,0.27635,0.463,1.449,1.522,705.312
PFIZER.NS,Large Cap,20015237824512.0,5114.5,5993,3701,0.111,2.57,,,0.66019,0.1499,28.898746,5.5478783,,176.98,0.68,30.55257,0.34832,0.32437,0.071,0.272,0.272,921.884
SHRIRAMFIN.NS,Large Cap,125754709377024.0,795.85,814.15,493.35,0.524,279.083,0.03431,0.17323999,0.3426,0.45215,15.208293,2.4701798,,52.33,1.85,13.118996,0.52085,0.63387,0.113,0.081,0.081,322.183
TORNTPHARM.NS,Large Cap,101578306486272.0,3573,3787.9,2886.45,0.138,42.81,,,0.70589995,0.14606,60.569588,15.930907,,58.99,0.9,39.955463,0.16917999,0.26149,0.112,0.198,0.199,224.281
